Entity Name,Github handle,Entity Package Name,Entity Submitted,KYC Complete,"Total Rewards [sum of Quest + Grants, paid out from community & ecosystem]",Foundation Ecosystem Delegation [Amber rewards],Community Delegation,Core Contributor Delegation,Strategic Partners & Reserve Delegation,Total Tokens Staked,% of stake,Cumulative % Stake
Staking Fund,winslyn,winslyn,TRUE,TRUE,"1,550,000","78,540,000","85,085,000","27,027,027","6,081,081","198,283,108",5.71%,5.71%
Ocean,Oceanabcde,Oceanabcde,TRUE,TRUE,"1,265,000","64,140,000","69,485,000","27,027,027","6,081,081","167,998,108",4.83%,10.54%
Simply VC,SimplyVC,SimplyVC,TRUE,TRUE,"2,634,050","60,300,000","65,325,000","27,027,027","6,081,081","161,367,158",4.64%,15.18%
Seb,SebastianJ,SebastianJ,TRUE,TRUE,"1,000,000","50,700,000","54,925,000","27,027,027","6,081,081","139,733,108",4.02%,19.21%
lqyice,lqyice,lqyice,TRUE,TRUE,"815,000","41,340,000","44,785,000","27,027,027","6,081,081","120,048,108",3.45%,22.66%
Bitoven / Sasando,bitoven-dev,bitoven-dev,TRUE,TRUE,"565,000","28,620,000","31,005,000","27,027,027","6,081,081","93,298,108",2.68%,25.34%
DCC Capital,dcccapital,dcccapital,TRUE,TRUE,"515,000","26,100,000","28,275,000","27,027,027","6,081,081","87,998,108",2.53%,27.88%
Bison Trails,karmastic,karmastic,TRUE,TRUE,"490,000","24,840,000","26,910,000","27,027,027","6,081,081","85,348,108",2.46%,30.33%
Stakefish,m4dbi7,m4dbi7,TRUE,TRUE,"25,000","1,260,000","1,365,000","54,054,054","12,162,162","68,866,216",1.98%,32.32%
moonli.me,y3v63n,y3v63n,TRUE,TRUE,"225,000","11,400,000","12,350,000","27,027,027","6,081,081","57,083,108",1.64%,33.96%
Bit Cat,wjdfx,wjdfx,TRUE,TRUE,"940,000","9,600,000","10,400,000","27,027,027","6,081,081","54,048,108",1.56%,35.51%
marssuper,marssuper,marssuper,TRUE,TRUE,"190,000","9,660,000","10,465,000","27,027,027","6,081,081","53,423,108",1.54%,37.05%
WeTez,wetezos,wetezos,TRUE,TRUE,"165,000","8,340,000","9,035,000","27,027,027","6,081,081","50,648,108",1.46%,38.51%
everstake,ank-everstake,ank-everstake,TRUE,TRUE,"1,150,000","7,620,000","8,255,000","27,027,027","6,081,081","50,133,108",1.44%,39.95%
coderpm,codernpm,codernpm,TRUE,TRUE,"150,000","7,620,000","8,255,000","27,027,027","6,081,081","49,133,108",1.41%,41.36%
Chorus One,chorus-techops,chorus-techops,TRUE,TRUE,"3,355,000","5,820,000","6,305,000","27,027,027","6,081,081","48,588,108",1.40%,42.76%
Nodeasy,culmore2015,culmore2015,TRUE,TRUE,"135,000","6,840,000","7,410,000","27,027,027","6,081,081","47,493,108",1.37%,44.13%
Rockefeller,privatenerd,privatenerd,TRUE,TRUE,"125,000","6,360,000","6,360,000","27,027,027","6,081,081","45,953,108",1.32%,45.45%
